"","EDUC","CLASS","WRKSTAT","MARITAL","AGE","CHILDS","SEX","RELTRAD","ATTEND","RELPERSN","RELACTIV","SOCREL","SOCOMMUN","SOCFREND","SOCBAR","INTRNETUSE","INTPRFSSNL","UNPLUG","INTHOME","INTPUB","INTSKILL","INTSURF","INTLITERACY","INTAPPS","INTCOMM","INTSHARE","INTSEARCH","INTGAME","INTSTREAM","INTFNCL","INTMEET","INTLNLY","INTVIEWS","INTRUST","TRPPL","RACECEN1.mod"
"106",12,3,5,1,60,3,2,4,7,2,7,4,4,3,5,2,5,5,2,3,3,3,3,4,3,4,3,4,4,4,4,5,6,3,6,1
"107",17,3,1,1,45,4,1,2,7,2,4,3,4,5,6,1,1,6,1,2,1,1,1,2,1,4,1,4,3,3,5,5,6,5,5,1
"108",9,2,1,1,43,2,1,4,5,2,1,2,2,6,2,3,1,6,2,5,3,3,1,3,2,3,3,5,5,4,5,5,6,0,2,1
"109",17,4,5,1,67,2,1,2,2,4,1,3,5,4,5,2,6,6,1,2,2,1,1,2,2,2,1,5,1,4,5,5,3,4,6,1
"110",17,3,5,1,60,4,1,4,8,2,4,2,3,5,6,2,2,4,2,3,3,2,2,3,1,4,2,5,3,2,4,4,6,6,5,1
"111",16,2,1,3,66,0,2,3,3,4,1,4,5,4,6,1,1,6,2,5,1,1,2,3,1,5,1,5,5,3,5,5,6,0,5,2
"112",14,3,5,2,65,0,2,2,3,3,1,1,3,5,7,2,5,2,1,3,2,2,2,2,2,3,1,5,2,1,4,3,5,5,1,3
"113",18,2,1,1,47,5,2,7,0,4,1,5,7,5,5,1,1,6,1,1,1,1,2,3,2,3,1,5,2,2,3,4,6,3,2,2
"114",15,2,1,5,34,0,2,4,2,2,1,2,6,4,3,1,1,6,1,3,2,1,1,2,3,3,2,5,4,3,3,4,5,2,7,1
"115",12,3,1,5,66,0,2,2,7,2,3,1,5,4,7,1,1,5,2,4,2,2,2,4,3,4,2,5,4,2,3,5,6,0,7,1
"116",16,3,1,5,23,0,1,7,2,3,2,5,5,5,3,2,1,4,1,1,1,1,1,1,1,4,1,2,1,2,2,4,5,0,3,1
"117",16,1,6,5,22,0,2,7,0,4,1,5,1,3,2,1,2,2,2,3,1,1,2,1,2,3,2,4,1,3,2,2,5,2,5,1
"118",16,3,1,5,25,0,1,7,0,4,1,6,7,3,7,1,1,5,1,1,1,1,2,2,1,1,1,1,1,1,3,2,6,5,5,4
"119",17,3,1,5,45,0,1,6,3,2,3,4,5,5,5,2,2,3,2,3,2,2,2,2,2,5,2,3,2,2,4,4,6,1,6,1
"120",10,2,1,4,20,0,1,1,7,2,3,6,1,1,7,1,5,6,1,1,1,1,1,1,1,1,1,3,1,1,4,4,6,3,5,1
"121",16,3,5,2,66,2,2,7,2,4,1,2,3,5,4,1,6,6,1,3,1,1,2,3,2,3,1,5,2,1,4,4,6,2,5,1
"122",16,2,1,1,49,1,1,6,3,3,2,3,7,3,6,1,1,1,1,1,1,1,1,1,1,4,1,4,3,2,5,3,6,7,7,4
"123",14,3,1,3,34,0,1,1,2,2,1,2,2,3,7,2,1,3,1,2,1,1,1,3,2,4,2,5,2,2,4,4,3,2,5,1
"124",16,3,1,5,29,0,2,5,2,4,1,5,7,4,7,1,1,3,1,2,1,1,1,1,1,3,2,5,2,2,3,2,2,1,4,1
"125",12,3,1,3,23,0,1,7,0,4,1,5,7,4,7,1,2,2,1,3,1,1,1,1,1,4,1,1,3,2,3,2,5,5,6,1
"126",17,2,6,1,38,2,2,1,3,3,8,3,7,4,7,2,3,4,2,3,2,2,3,2,3,3,1,4,3,2,4,4,5,3,7,4
"127",18,2,2,1,34,2,2,7,0,4,1,2,2,4,5,2,2,2,2,3,1,1,2,1,1,3,1,5,1,1,5,5,6,2,5,1
"128",12,1,5,3,53,2,1,1,5,2,5,5,3,4,3,1,6,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,0,0,2
"129",12,2,1,5,25,0,2,7,0,4,1,2,7,7,7,1,2,4,1,3,1,1,1,2,2,4,1,4,1,1,2,1,5,7,0,1
"130",14,3,1,3,55,2,2,7,2,4,1,4,7,3,7,1,1,6,1,1,1,1,1,3,1,3,1,5,3,2,3,3,6,5,3,5
"131",11,2,7,5,32,2,2,2,3,3,4,3,7,5,5,1,5,4,1,4,3,1,1,1,1,5,4,1,1,2,3,3,6,3,3,1
"132",16,2,5,3,74,1,1,6,2,4,1,5,7,2,7,2,5,2,2,5,2,2,2,3,3,5,3,5,3,3,4,4,6,2,8,1
"133",13,3,5,5,66,0,2,4,0,3,1,5,7,4,6,1,5,2,3,3,1,1,1,1,3,2,2,1,2,5,3,3,6,5,5,1
"134",16,3,1,1,50,1,1,6,7,2,8,5,7,7,7,1,1,6,1,2,3,1,3,3,1,4,1,2,2,2,3,3,6,3,3,1
"135",20,2,2,5,47,3,1,7,0,4,1,2,6,5,5,1,2,1,2,2,2,2,2,1,3,4,2,3,3,3,4,5,3,2,2,1
"136",16,3,1,5,41,1,2,1,7,2,5,5,5,4,6,1,1,6,1,2,1,1,1,1,2,1,1,5,3,2,3,2,6,3,7,4
"137",17,4,1,5,42,0,1,4,1,3,1,3,7,3,4,1,1,5,1,2,1,1,1,1,1,4,1,3,1,1,3,3,6,2,2,1
"138",12,3,5,1,75,4,1,7,0,4,1,2,4,5,5,2,5,2,2,4,3,3,2,4,3,2,2,5,3,3,4,4,6,3,4,1
"139",12,3,4,5,37,0,2,4,4,2,1,6,4,7,7,2,2,1,1,2,2,5,5,5,5,2,3,5,5,2,4,2,4,9,10,2
"140",16,3,1,5,24,0,1,7,0,4,1,5,7,2,3,1,2,6,1,2,1,1,2,2,1,3,1,1,1,1,4,3,2,6,3,1
"141",16,3,1,1,28,0,1,6,3,3,3,5,6,3,4,1,2,2,2,3,1,1,1,1,2,4,1,3,1,2,3,2,6,4,3,4
"142",18,3,1,1,47,1,1,6,0,4,1,1,7,4,5,1,1,2,1,2,1,1,1,1,1,3,1,3,2,2,4,4,6,7,7,1
"143",19,3,1,3,43,4,1,7,1,4,2,2,5,3,3,1,1,3,1,3,2,1,1,2,2,4,2,2,3,2,4,5,5,5,6,1
"144",16,2,2,5,45,1,2,4,0,3,2,3,6,3,5,2,1,5,1,3,1,1,1,2,1,4,1,5,1,1,5,5,6,1,2,1
"145",16,4,1,1,67,2,1,3,6,1,4,6,5,4,3,2,3,6,2,4,1,1,1,1,1,3,1,5,3,2,5,4,6,0,1,2
"146",12,2,1,1,41,1,1,7,1,4,1,1,7,3,5,2,4,5,3,3,1,2,2,3,3,3,3,4,2,3,5,5,6,0,2,4
"147",16,2,7,1,59,1,2,1,7,2,8,1,7,3,7,1,1,2,1,3,2,2,1,2,1,2,1,3,4,4,4,5,1,0,7,5
"148",12,2,6,5,18,0,1,4,6,2,6,1,2,1,7,1,1,2,1,4,1,1,2,2,1,2,1,2,2,4,5,4,6,6,7,6
"149",7,1,7,5,30,4,2,1,0,4,1,2,1,7,7,1,6,2,1,3,2,2,1,2,1,1,1,1,1,1,1,1,2,0,5,3
